Código producto	Descripción del producto	Descripción completa del producto	Tipo de producto	Tipo de canasta	Fecha inicio abastecimiento	Tipo de Bases
100000566	EQ.INFUSION SCALP-VEIN I.V. 25GX 18A20MM	EQUIPO INFUSION INTRAVENOSA SCALP-VEIN 25 G X 18 A 20 MM LARGO, 2 ALAS CON SISTEMA ANTIDESLIZANTE, TUBO P.V.C. 30 A 35 CM DE LARGO. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000567	EQUIPO INFUS SOL MICROGOTEO 60 GOTAS/ML	EQUIPO INFUSION SOLUCION MICROGOTEO 60 GOTAS/ML, DEBE TENER: BURETA GRADUADA DE 100 A 150 ML, FILTRO DE MEMBRANA IMPERMEABLE, SISTEMA DE TOMA AIRE INCORPORADO A LA BURETA CON FILTRO DE MALLA Y SITIO PUNCION EN Y. ENVASE INDIVIDUAL ESTERIL CON SELLO QUE AEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000568	MANOMETRO PARA OXIGENO TERAPIA	MANOMETRO PARA OXIGENO TERAPIA  RANGO MINIMO 0 A 3500 Lb/PULG 2, QUE PERMITA CONEXIÓN CON VALVULA H, FLUJOMETRO COMPENSADO ADULTO DE 0-15 L/MINCON NIPLE Y HUMIDIFICADOR . ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO.COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000573	EQUIPO INF SOL MACROGOTEO 15A20 GOTAS/ML	EQUIPO INFUSION SOLUCION MACROGOTEO 15 A 20 GOTAS POR ML DEBE TENER BURETA CON FILTRO DE MICROPARTICULAS, TOMA DE AIRE EN LA CAMARA DE SITIO PUNCION EN Y, LARGO MINIMO 1.5 METROS CON ADAPTADOR TIPO LUER LOCK ENVASE INDIVIDUAL ESTERIL. RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000580	ERITROMICINA 500 MG CM REC.	ERITROMICINA 500 MG COMPRIMIDO RECUBIERTO  ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZARPOR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000581	EPOETINA ALFA-BETA HUMANA RECOMB 2000 UI	EPOETINA ALFA O BETA HUMANA RECOMBINANTE 2000 UI PARA ADMINISTRACION INTRAVENOSA, SUBCUTANEA EN JERINGA PRELLENADA O AMPOLLA O FRASCO AMPOLLA UOTRA PRESENTACION APROBADA POR REGISTRO SANITARIO. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR FRASCO AMPOLLA, AMPOLLA O JERINGA PRELLENADA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100000582	ERTAPENEM 1 G POL/LIOF SOL.INYECT. FAM	ERTAPENEM 1 G POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA - INTRAMUSCULAR FRASCO AMPOLLA . ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000585	ESCOPOLAM N-BUTIL BROMUR 20 MG/ML AM/FAM	ESCOPOLAMINA N-BUTIL BROMURO 20 MG/ML PARA ADMINISTRACION INTRAMUSCULAR, INTRAVENOSA, SUBCUTANEA AMPOLLA O FRASCO AMPOLLA 1ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLAO FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000587	ESPIRONOLACTONA 25 MG CM/GG	ESPIRONOLACTONA 25 MG COMPRIMIDO O GRAGEA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZARPOR COMPRIMIDO O GRAGEA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000593	ESTREPTOQUINASA 1.500.000 U.I. LIOF FAM	ESTREPTOQUINASA 1.500.000 U.I. POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA-INTRAARTERIAL FRASCO AMPOLLA.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR FRASCO AMPOLLA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100000600	ETOMIDATO 2MG/ML SOL. INY. AM/FAM 10 ML	ETOMIDATO 2MG/ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000601	ETONOGESTREL 68 MG IMPLANTE SUBCUTANEO	ETONOGESTREL 68 MG IMPLANTE SUBCUTANEO BASTONCILLO 4 CM LARGO POR 2 MMDE DIAMETRO CON APLICADOR ESTERIL DESECHABLE ENVASADO EN BLISTER CAJA 1IMPLANTE. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR IMPLANTE.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100000602	ETOPOSIDO 100 MG/5 ML SOL. INY. FAM	ETOPOSIDO 100 MG/5 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000604	EXEMESTANO 25 MG GG/CM REC	EXEMESTANO 25 MG GRAGEA O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR GRAGEA O COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000609	EYECTOR SALIVA TRANSPARENTE DESECHABLE	EYECTOR DE SALIVA TRANSPARENTE DESECHABLE ALAMBRE FLEXIBLE  13 A 15 CM LARGO APROXIMADO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000618	FAMOTIDINA 40 MG CM/CM REC.	FAMOTIDINA 40 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000619	FENILEFRINA 2,5% SOL. OFT. FRA 5 ML	FENILEFRINA 2,5% SOLUCION OFTALMICA FRASCO GOTARIO 5 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000620	FENITOINA 50MG/ML SOL.INY.AM/FAM/JRP 5ML	FENITOINA 50 MG/ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA, FRASCO AMPOLLA O JERINGA PRELLENADA 5ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA OFRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000621	FENITOINA 100 MG CM LIB. RAPIDA	FENITOINA 100 MG COMPRIMIDO DE LIBERACION RAPIDA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000622	FENOBARBITAL 200 MG SOL. INY. AM/FAM	FENOBARBITAL 200 MG SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA,INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA.  ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCOAMPOLLA.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000623	FENOBARBITAL 15 MG CM	FENOBARBITAL 15 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000624	FENOBARBITAL 100 MG CM	FENOBARBITAL 100 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000625	FENOTEROL 0,5 MG/10 ML SOL. INY. AM/FAM	FENOTEROL 0,5 MG/10 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000626	FENOTEROL/IPRAT 0,05/0,02 MG INH 200 DS	FENOTEROL/IPRATROPIO 0,05/0,02 MG INHALADOR PRESURIZADO FRASCO 200 DOSIS LIBRE CFC. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000627	FENOTEROL/IPRAT. 0,5/0,25MG/ML FRA 20 ML	FENOTEROL/BROMURO DE IPRATROPIO 0,5/0,25 MG/ML SOLUCION PARA INHALACIONPARA NEBULIZAR FRASCO 20 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000628	FENTANILO 0,1 MG/2ML SOL.INY. AM/FAM/JPR	FENTANILO 0,1 MG/2 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAMUSCULAR-INTRAVENOSA AMPOLLA, FRASCO AMPOLLA O JERINGA PRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000629	FENTANILO 0,5 MG/10 ML SOL. INY. AM/FAM	FENTANILO 0,5 MG/10 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAMUSCULAR-INTRAVENOSA AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Psicotrópicos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000630	SULFATO FERROSO 125 MG/ML ORAL FRA 30 ML	SULFATO FERROSO HEPTAHIDRATO 125 MG/ML SOLUCION PARA ADMINISTRACION ORAL EN GOTAS FRASCO 30 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000631	FERROSO SULFATO 200 MG CM/GG	FERROSO SULFATO 200 MG COMPRIMIDO O GRAGEA ENVASADO EN BLISTER O TIRAS DE ALUMINIO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000632	FIERRO (HIERRO III POLIMALT) 100 MG CM	FIERRO COMPLEJO HIERRO III POLIMALTOSADO 100 MG COMPRIMIDO, COMPRIMIDORECUBIERTO O COMPRIMIDO MASTICABLE ENVASADO EN BLISTER. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.2
100000635	FILGRASTIM 300 MCG FAM/JRP	FILGRASTIM 300 MCG  SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA-SUBCUTANEA, FRASCO AMPOLLA O JERINGA PRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA O JERINGA PRELLENADA.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.3
100000639	FITOQUINONA 1 MG/1ML SOL INY IM AM/FAM	FITOQUINONA (FITOMENADIONA) 1 MG/1 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000640	FITOQUINONA 10 MG/1 ML SOL INY IM AM/FAM	FITOQUINONA (FITOMENADIONA) 10 MG/1 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000641	FLUCLOX 250MG/5ML POLV JAR/SUSP FRA 60ML	FLUCLOXACILINA 250 MG/5 ML POLVO PARA JARABE O SUSPENSION ORAL FRASCO 60 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000642	FLUCLOXACILINA 500 MG CP/CM REC.	FLUCLOXACILINA 500 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000643	FLUCONAZOL 50 MG CM/CM REC/CP	FLUCONAZOL 50 MG COMPRIMIDO, COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000644	FLUCONAZOL 150 MG CM/CM REC/CP	FLUCONAZOL 150 MG COMPRIMIDO, COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000645	FLUCONAZOL 200 MG/100 ML SOL. INY.FAM	FLUCONAZOL 200 MG/100 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA, FRASCO AMPOLLA O BOLSA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA, AMPOLLA, BOTELLA PLÁSTICA O BOLSA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000647	FLUDROCORTISONA 0,1 MG CM	FLUDROCORTISONA 0,1 MG COMPRIMIDO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.  COTIZAR POR COMPRIMIDO.	Refrigerados	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000648	FLUFENAZINA 250 MG/10 ML SOL. INY. FAM	FLUFENAZINA DECANOATO 250 MG/10 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAMUSCULAR FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000649	FLUMAZENIL 0,5 MG/5 ML SOL. INY. AM/FAM	FLUMAZENIL 0,5 MG/5 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000650	FLUNARIZINA 10 MG CM	FLUNARIZINA 10 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.2
100000651	FLUOROURACILO 500 MG/10 ML SOL. INY. FAM	FLUOROURACILO 500 MG/10 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000652	FLUOXETINA 20 MG CM/CM REC/CP	FLUOXETINA 20 MG COMPRIMIDO, COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000653	FLUTAMIDA 250 MG CM/CM REC/CP	FLUTAMIDA 250 MG COMPRIMIDO, COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000657	FONENDOSCOPIO PLANO ADULTO	FONENDOSCOPIO PLANO ADULTO, CON OLIVAS BLANDAS O SEMIBLANDAS INTERCAMBIABLES, CON MEMBRANA DE 43 A 48 MM DE DIAMETRO. ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000669	FOSFATO MONOPOT 15% SOL INY AM/FAM 10ML	FOSFATO MONOPOTASICO 15% SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000671	FRA POLIP C/TAP ROSC ROJA GRAD 100A120ML	FRASCO CILINDRICO POLIPROPILENO CON TAPA ROSCA ROJA GRADUADO 0 A 100 O DE 0 A 120 ML BOCA 5 A 6 CM DIAMETRO. ENVASE INDIVIDUAL ESTERIL. CAJA O BOLSA HASTA 250 UNIDADES. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000688	FUMARATO FERROSO + VITAMINAS CM O CP	FUMARATO FERROSO/CIANOCOBALAMINA/ACIDO ASCORBICO/ACIDO FOLICO 330/1/100/2 MG COMPRIMIDOS, CAPSULAS O CAPSULAS BLANDAS ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000693	FUROSEMIDA 20 MG/1-2 ML SOL. INY AM/FAM	FUROSEMIDA 20 MG/1-2 ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA-INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000694	FUROSEMIDA 40 MG CM	FUROSEMIDA 40 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000695	FUROSEMIDA 10 MG/ML SOL. ORAL FRA 60 ML	FUROSEMIDA 10 MG/ML SOLUCION ORAL FRASCO 60 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000696	GABAPENTINA 300 MG CP/CM REC.	GABAPENTINA 300 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000697	GABAPENTINA 400 MG CP/CM REC.	GABAPENTINA 400 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR CAPSULA O COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000698	GABAPENTINA 600 MG CP/CM REC.	GABAPENTINA 600 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR CAPSULA O COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000699	GANCICLOVIR 500 MG LIOF. P/SOL INY FAM	GANCICLOVIR SODICO 500 MG POLVO LIOFILIZADO PARA SOLUCION INYETABLE PARA ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000701	GASA ALG. 4 PL 5X100 CM HILO R.O SO 5 UN	GASA ALGODON 4 PLIEGUES CON HILO RADIO OPACO 5 X 100 CM 100% ALGODON LIBRE IMPUREZAS, ESTERIL, CON CONTROL ESTERILIZACION EMPAQUE PAPEL GRADO MEDICO BILAMINADO, SOBRE 5 UNIDADES. CAJA O BOLSA HASTA 300 SOBRES. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.  COTIZAR POR SOBRE.	Insumos	Canasta general	2020-01-01	272
100000704	GASA TIPO IV HIDROFILA ROLLO 90 CM X 91M	GASA TIPO IV USP XXX O SUPERIOR ROLLO 90 CM ANCHO X 91 M LARGO 100% ALGODON DESGRASADO SIN APRESTO LIBRE IMPUREZAS PESO X M2 MINIMO 24,5  G TRAMA DE 18 A 22 URDIEMBRE 22 A 26 HEBRASX CADA 2,54 CM PESO NO MENOS 2 KG.ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR ROLLO.	Insumos	Canasta general	2020-01-01	272
100000705	GASA PARAFINADA 10 X 10 CM ESTERIL SOBRE	GASA PARAFINADA 10 CM ANCHO X 10 CM LARGO SOBRE. ENVASE INDIVIDUAL ESTERIL CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.	Insumos	Canasta general	2020-01-01	272
100000706	GASA SINTET. 4 PLIEGUES 10X10 CM EST. SO	GASA SINTETICA 4 PLIEGUES 10 X 10 CM ESTERIL SOBRE 2 UNIDADES CON CONTROL DE ESTERILIZACION EMPAQUE PAPEL GRADO MEDICO BILAMINADO. CAJA O BOLSAHASTA 600 SOBRES. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR SOBRE.	Insumos	Canasta general	2020-01-01	272
100000707	GASA SINTETICA 4 PLIEGUES 5X5 CM EST. SO	GASA SINTETICA 4 PLIEGUES 5 X 5 CM ESTERIL SOBRE 2 UNIDADES CON CONTROLDE ESTERILIZACION EMPAQUE PAPEL GRADO MEDICO BILAMINADO. CAJA O BOLSA HASTA 600 SOBRES. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR SOBRE.	Insumos	Canasta general	2020-01-01	272
100000708	GEL P/ELECTROCARDIOGRAMA TU 220 A 280 G	GEL PARA ELECTROCARDIOGRAMA EN TUBO O FRASCO DISPENSADOR DE 220 A 280 GRAMO O ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR FRASCO.	Insumos	Canasta general	2020-01-01	272
100000709	GEL ULTRASONIDO P/ECOGRAFIA BI 3,8 A 5 L	GEL CONDUCTOR ULTRASONIDO PARA ECOGRAFIA BIDON 3,8 A 5 KILOGRAMOS O LITROS. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR LITRO O KILOGRAMOS	Insumos	Canasta general	2020-01-01	272
100000710	GELATINA SUCCINILADA 3 A 4 % FAM 500 ML	GELATINA SUCCINILADA 3 A 4 % SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA FRASCO AMPOLLA O BOLSA 500 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR BOLSA O FRASCO AMPOLLA	Sueros	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
