Nombre Comercial;Nombre Proveedor;Nombres de medidas;Precio Máximo Venta al Público;Tipo Producto;Descripción Producto;Documento de Compras;ZCEN;ZGEN
IPRATROPIO 0,25 MG/ML SOL. NEB FRA 20 ML;PHARMAMERICA LIMITADA;Precio Máximo de Venta al Público;4550;Producto Disponible;IPRATROPIO 0,25MG/ML  SOL P/NEB FRA 20ML;4500020842;500002443;100000829
IPRATROPIO 0,025% SOL NEB 20ML CAJ 1 FRA;PHARMAMERICA LIMITADA;Precio Máximo de Venta al Público;4550;Producto Disponible;IPRATROPIO 0,25MG/ML  SOL P/NEB FRA 20ML;4500023519;500011755;100000829
IPRAZYNT HFA 20 MCG FRA 200 DO CAJ 1 FRA;SOCIEDAD DE INVERSIONES PHARMAVISAN;Precio Máximo de Venta al Público;3156;Producto Disponible;IPRATROPIO 20MCG/DO S/CFC FRA 200-270 DO;4500020721;500008918;100000830
ITRACONAZOL 100 MG CAJ 15 CP;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;17720;Producto Disponible;ITRACONAZOL 100 MG CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SE LLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.;4500023668;500011861;100000837
JAKAVI 20 MG CAJ X 60 CM;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;2559930;Producto Disponible;RUXOLITINIB 20 MG CM;4500022486;500010993;100004924
KALITIUM 300 MG CAJ 50 CM;EUROFARMA CHILE S.A.;Precio Máximo de Venta al Público;5555;Producto Disponible;LITIO CARBONATO 300 MG CM/CM REC/GRA;4500020456;500008773;100000936
KOMBIGLYZE XR 1000/2,5 MG L.EXTCAJ 56 CM;ASTRAZENECA S.A.;Precio Máximo de Venta al Público;37910;Producto Disponible;METFORM/SAXAGLIPTI 1000/2,5MG CM LIB EXT;4500022792;500011193;100004981
KOMBIGLYZE XR 1000/5 MG LIB EXT CAJ 28CM;ASTRAZENECA S.A.;Precio Máximo de Venta al Público;34540;Producto Disponible;METFORM/SAXAGLIPTIN 1000/5 MG CM LIB EXT;4500022740;500011131;100004977
LAMOTRIGINA 50 MG CAJ 60 CM;INTERPHARMA S.A.;Precio Máximo de Venta al Público;3530;Producto Disponible;LAMOTRIGINA 50 MG CM/CM REC;4500023537;500011756;100000900
LAMUCON 500 MG CAJ 50 CM REC;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;12983;Producto Disponible;MICOFENOLATO MOFETILO 500 MG CM REC.;4500020006;500009667;100002051
LANTUS 100 UI/ML SOL. INYEC. FAM 10 ML;SANOFI AVENTIS DE CHILE S.A.;Precio Máximo de Venta al Público;41690;Producto Disponible;INSULINA GLARGINA REC 100 UI/ML FAM10 ML;4500022434;500003291;100002079
LATANOP/TIMOLOL SOL. OFT. 5 ML CAJ 1 FRA;UNIFARMA SPA;Precio Máximo de Venta al Público;5430;Producto Disponible;LATANOP/TIMOLOL 50MCG/5MG/ML FRA2,5 A5ML;4500022196;500008395;100003415
LATANOPROST 50 MCG/ML SOL OFT 2,5 ML FRA;OPKO CHILE S.A.;Precio Máximo de Venta al Público;2265;Producto Disponible;LATANOPROST 50MCG/ML S.OF FRA 2,5 A 3 ML;4500020908;500004175;100000902
LEVETIRACETAM 500 MG CAJ 30 CM;ACRUX LABS S.A;Precio Máximo de Venta al Público;6500;Producto Disponible;LEVETIRACETAM 500 MG CM REC;4500023733;500011897;100001907
LEVETIRACETAM 500 MG CAJ 30 CM;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;3897;Producto Disponible;LEVETIRACETAM 500 MG CM REC;4500020935;500010179;100001907
LEVOFLOXACINO 500 MG CAJ 7 CM REC;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;1820;Producto Disponible;LEVOFLOXACINO 500 MG CM;4500021666;500010541;100000912
LIREX 2,5 MG CAJ 30 CM;GRUNENTHAL CHILENA LTDA.;Precio Máximo de Venta al Público;9790;Producto Disponible;TIBOLONA 2,5 MG CM/CM REC;4500022507;500011008;100003237
LORAZEPAM 2 MG CAJ 30 CM;PHARMATRADE S.A.;Precio Máximo de Venta al Público;890;Producto Disponible;LORAZEPAM 2 MG CM;4500021908;500010645;100000944
LOSARTAN POTASICO 100 MG CAJ 30 CM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;2570;Producto Disponible;LOSARTAN 100 MG CM/CM REC;4500021885;500006689;100000947
MACROSAN 50 MG CAJ 30 CP;INSTITUTO SANITAS S.A.;Precio Máximo de Venta al Público;4810;Producto Disponible;NITROFURANTOINA MACROC. 50 MG CP;4500022633;500011046;100003501
MACROSAN 100 MG CAJ 50 CP;CHEMOPHARMA S.A.;Precio Máximo de Venta al Público;5025;Producto Disponible;NITROFURANTOINA MACROC. 100MG CP/CM REC;4500020724;500010068;100001084
MEDROL 16 MG CAJ 14 CM;LABORATORIO WYETH INC.;Precio Máximo de Venta al Público;27150;Producto Disponible;METILPREDNISOLONA 16 MG CM;4500022162;500010759;100002247
MEMANTINA 10 MG CAJ 60 CM REC;PHARMATECH CHILE SPA;Precio Máximo de Venta al Público;9630;Producto Disponible;MEMANTINA 10 MG CM/CM REC;4500023247;500011564;100003483
MESALAZINA 500 MG CAJ X 60 SUP;PHARMAMERICA LIMITADA;Precio Máximo de Venta al Público;50840;Producto Disponible;MESALAZINA 500 MG SUPOSITORIO;4500023518;500011754;100002581
METFORMINA LIB. PROL. 500 MG CAJ 30 CM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;3310;Producto Disponible;METFORMINA 500 MG CM/CM REC LIB. PROLONG;4500021927;500010650;100003871
METILPREDNISOLONA 500 MG CAJ 1 FAM;LABVITALIS S.A.;Precio Máximo de Venta al Público;9630;Producto Disponible;METILPREDNISOLONA 500 MG LIOF IV FAM;4500023634;500011832;100001031
METOCLOPRAMIDA 10 MG CAJ 24 CM;PHARMATRADE S.A.;Precio Máximo de Venta al Público;900;Producto Disponible;METOCLOPRAMIDA 10 MG CM/CP;4500023001;500011328;100001034
METRONIDAZOL 0,75% 30G GEL CAJ 1 POM;MEDIPHARM;Precio Máximo de Venta al Público;5070;Producto Disponible;METRONIDAZOL 0,75 % GEL TU/PM 30G;4500020418;500009894;100004708
METRONIDAZOL 500 MG CAJ 10 OV VAGINAL;PHARMATRADE S.A.;Precio Máximo de Venta al Público;1610;Producto Disponible;METRONIDAZOL 500 MG OVULO/CP VAGINAL;4500021286;500010392;100001042
MICOFENOLATO MOFETILO 500MG CAJ 50CM REC;PHARMATRADE S.A.;Precio Máximo de Venta al Público;12220;Producto Disponible;MICOFENOLATO MOFETILO 500 MG CM REC.;4500023978;500012070;100002051
MIRENA 20MCG/24HRS IMP. INTRAUT CAJ 1UN;BAYER S.A.;Precio Máximo de Venta al Público;93620;Producto Disponible;LEVONORGESTREL SIST INTRAUTER20MCG/24HRS;4500022354;500009764;100004464
MONTELUKAST 5 MG CAJ 30 CM;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;4660;Producto Disponible;MONTELUKAST 5 MG CM MASTIC;4500022366;500010905;100003217
MOXIFLOXACINO 0.5% SOL.OFT. FRA 5 ML;MEDINOVA LIMITADA;Precio Máximo de Venta al Público;6750;Producto Disponible;MOXIFLOXACINO 0,5% SOL OFTAL FRA 3 A 5ML;4500021776;500010588;100002296
NASTUL COMPUEST 125/30/2MG/5ML CAJ 1 FRA;CHEMOPHARMA S.A.;Precio Máximo de Venta al Público;2670;Producto Disponible;PARAC/PSEUDOEF/CLORF 125/30/2MG/5 ML FRA;4500022126;500004944;100001138
NEBIDO 1000 MG/4ML SOL. INY. CAJ 1 FAM;BAYER S.A.;Precio Máximo de Venta al Público;79810;Producto Disponible;TESTOSTERONA UNDECANOAT 250 MG/ML AM/FA;4500023232;500010933;100004116
NEPOKARE 10 MG CAJ 30 CM REC;DR REDDY S LABORATORIES CHILE SPA;Precio Máximo de Venta al Público;3930;Producto Disponible;DONEPEZILO 10 MG CM REC;4500022318;500010878;100003230
NODUTAX 25 MG CAJ 30 CM;SYNTHON CHILE LTDA;Precio Máximo de Venta al Público;17190;Producto Disponible;EXEMESTANO 25 MG GG/CM REC;4500020751;500005890;100000604
NODUTAX 25 MG CAJA 30 CM REC.;INVERSIONES C&F SPA;Precio Máximo de Venta al Público;17980;Producto Disponible;EXEMESTANO 25 MG GG/CM REC;4500023605;500011838;100000604
NOVORAPID 100U/ML SOL INY 10ML CAJ 1 FAM;NOVO NORDISK FARMACEUTICAL LTDA;Precio Máximo de Venta al Público;27500;Producto Disponible;INSULINA ULTRA RAPIDA 100 UI/ML FAM/CGE;*;500007930;100001970
OCTRIN LAR MICROES.20 MG P/SUSP.INY FAM;LIBRA CHILE S.A.;Precio Máximo de Venta al Público;592120;Producto Disponible;OCTREOTIDA 20MG MICROESF SUSP INYEC FAM;4500022445;500008774;100002254
OFTAFILM 0,4% SOL. OFT 10 ML CAJ 1 FRA;LABORATORIOS SAVAL S.A.;Precio Máximo de Venta al Público;10700;Producto Disponible;HIALURONATO SOD 0,4 % S. OFT FRA 10A15ML;4500023516;500011762;100003472
OMNITROPE 10 MG/1,5 ML SOL INY CGE 30 UI;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;49960;Producto Disponible;SOMATROPINA HUM. RECOMB 24-30-36UI x UI;4500022839;500010689;100002472
ONEMER 30 MG/1ML SOL INY CAJ 3 AM;LABORATORIO SANDERSON S.A;Precio Máximo de Venta al Público;908;Producto Disponible;KETOROLACO 30 MG/ML SOL.INY. AM/FAM 1 ML;4500023717;500011925;100000871
ONGLYZA 5 MG CM REC CAJ 28 CM;ASTRAZENECA S.A.;Precio Máximo de Venta al Público;31280;Producto Disponible;SAXAGLIPTINA 5 MG CM REC;4500022790;500011191;100004983
ORALGENE COLUTORIO 0,12% 120ML CAJ 1 UN;TREMA DENTAL LIMITADA;Precio Máximo de Venta al Público;4200;Producto Disponible;CLORHEXIDINA 0,12% COLUTO FRA 100-150ML;4500022520;500011003;100002007
OTOC 8 MG CAJ 10 CM BUCODISPERSABLES;ACRUX LABS S.A.;Precio Máximo de Venta al Público;7670;Producto Disponible;ONDANSETRON 8 MG COMPRIMIDO BUCODISPERSABLES ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZ AR POR COMPRIMIDO.;4500023615;500011826;100005482
PALEXIS RETARD 50MG LIB. PROLON CAJ 10CM;GRUNENTHAL CHILENA LTDA.;Precio Máximo de Venta al Público;12330;Producto Disponible;TAPENTADOL 50 MG CM LIB. PROLONGADA;4500022062;500009751;100004702
PENTASA 1000 MG  CAJ 28 SUPOSITORIOS;NOVOFARMA SERVICE S.A. / FERRING;Precio Máximo de Venta al Público;71930;Producto Disponible;MESALAZINA 1000 MG SUPOSITORIO;4500021335;500010413;100003471
PHOSLO 667 MG CAJ 60 CM;LABORATORIO PASTEUR S.A.;Precio Máximo de Venta al Público;7380;Producto Disponible;CALCIO ACETATO 667 MG CM;4500023841;500011907;100003457
PRADAXA 110 MG CAJ 60 CP;NOVOFARMA SERVICE S.A. / BOEHRINGER;Precio Máximo de Venta al Público;50024;Producto Disponible;DABIGATRAN 110 MG CP;4500021522;500009504;100004230
PRADAXA 150 MG CAJ 60 CP;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;48390;Producto Disponible;DABIGATRAN 150 MG CP;4500021521;500009051;100004231
PREGASTAR 150 MG CAJ 28 CP;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;4680;Producto Disponible;PREGABALINA 150 MG CM/CP;4500020923;500004819;100002261
PREQIFIN SIST. TRANSD 35 MCG/H  CAJ 5 UN;LABORATORIOS SAVAL S.A.;Precio Máximo de Venta al Público;31230;Producto Disponible;BUPRENORFINA SIST. TRANSDERMICO 35 MCG/H;4500022163;500010763;100000244
PROLOPA 200/50 MG FRA 30 CM;ROCHE CHILE LIMITADA;Precio Máximo de Venta al Público;7062;Producto Disponible;LEVODOPA/BENSERAZIDA 200/50 MG CM;4500020713;500003188;100000903
PROLOPA HBS 100/25 MG CAJ 30 CP;ROCHE CHILE LIMITADA;Precio Máximo de Venta al Público;9564;Producto Disponible;LEVODOPA/BENSERAZIDA 100/25MG CP L.PROL;4500015300;500006843;100003946
QUETIAPINA 100 MG CAJ 30 CM REC;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;2090;Producto Disponible;QUETIAPINA 100 MG COMPRIMIDO RECUBIERTO VÍA ORAL ENVASADO EN BLISTER. EN VASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. C OTIZAR POR COMPRIMIDO.;4500023931;500012042;100001233
REDISTRA 400 MG CAJ 30 CP;DR REDDY S LABORATORIES CHILE SPA;Precio Máximo de Venta al Público;93580;Producto Disponible;IMATINIB  400 MG CP/CM REC.;4500020224;500009770;100002047
REDUSTEROL 20 MG CAJ 30 CM;OPKO CHILE S.A.;Precio Máximo de Venta al Público;4570;Producto Disponible;ROSUVASTATINA 20 MG CM REC;4500023719;500011893;100004373
RIMOX CAJ 30 CM;PHARMATRADE S.A.;Precio Máximo de Venta al Público;3130;Producto Disponible;RISPERIDONA 3 MG CM/CM REC.;4500023707;500011939;100001256
RITALIN LA 10MG FRA 30 CAP LIB. PROL.;NOVOFARMA SERVICE S.A. / AXON PHARMA;Precio Máximo de Venta al Público;23370;Producto Disponible;METILFENIDATO 10 MG CP/CM REC LIB. PROL;4500020745;500010084;100003270
ROSUVASTATINA 10 MG CAJ 30 CM;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;3370;Producto Disponible;ROSUVASTATINA 10 MG CM REC.;4500022193;500008754;100003257
RUBIFEN SR 20 MG CAJ 30 CM REC LP;EXELTIS CHILE SPA;Precio Máximo de Venta al Público;12430;Producto Disponible;METILFENIDATO 20 MG CM/CM REC LIB PROLON;4500022213;500010833;100002076
SACRUSYT HFA 100UG/DO INH 200DO CAJ1 FRA;SOCIEDAD DE INVERSIONES PHARMAVISAN;Precio Máximo de Venta al Público;2620;Producto Disponible;SALBUTAMOL 100UG/DO S/CFC FRA 200 A250DO;4500021273;500009010;100001266
SALES P/REHIDRATACIÓN -90 POLVO CAJ 4 SO;OPKO CHILE S.A.;Precio Máximo de Venta al Público;2760;Producto Disponible;SALES REHIDRATACION ORAL 90 MEQ/L SO;4500023401;500010987;100001272
SANDOSTATIN LAR 30 MG CAJ 1 FAM;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;1387200;Producto Disponible;OCTREOTIDA 30 MG MICROESF SUSP INYEC FAM;4500022106;500006781;100003906
SAYANA 104MG/0,65ML SUSP INY CAJ 1 JRP;LABORATORIO WYETH INC.;Precio Máximo de Venta al Público;12160;Producto Disponible;MEDROXIPROGESTERONA 104MG/0,65ML JRP/DIS;4500022438;500010947;100002344
SIGMASPORIN 100 MG CAJ 50 CP;LIBRA CHILE S.A.;Precio Máximo de Venta al Público;67300;Producto Disponible;CICLOSPORINA 100 MG CP BLANDA;4500023636;500011831;100002030
SIGMASPORIN MICRORAL CAJ 50 CP;LIBRA CHILE S.A.;Precio Máximo de Venta al Público;26690;Producto Disponible;CICLOSPORINA 25 MG CP BLANDA;4500023751;500011936;100002032
SOLU - MEDROL 40 MG/1 ML FAM;LABORATORIO WYETH INC.;Precio Máximo de Venta al Público;7410;Producto Disponible;METILPREDNISOLONA 40MG LIOF IV-IM FAM;4500022622;500011054;100001030
SOLU-MEDROL 1 G FAM;PFIZER CHILE S.A.;Precio Máximo de Venta al Público;23480;Producto Disponible;METILPREDNISOLONA 1 G LIOF IV-IM FAM;4500021078;500000266;100001028
SOLVOBIL 250 MG CAJ 100 CM;LABORATORIOS SILESIA S.A.;Precio Máximo de Venta al Público;28520;Producto Disponible;ACIDO URSODEOXICOLICO 250MG CP/CM/CM REC;4500023727;500011930;100000030
SOPHIXIN 0,3 % SOL. OFT. FRA 5 ML;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;6110;Producto Disponible;CIPROFLOXACINO 0.3%  FRA 5 ML SOL. OFTAL;*;500010530;100000377
SPIOLTO RESPIMAT SOL P/INH. FRA 60 PUFF;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;36410;Producto Disponible;TIOTROPIO/OLODATEROL 2,5/2,5MCG/PUFF SOL;4500022443;500008756;100004490
SPIOLTO RESPIMAT SOL P/INH. FRA 60 PUFF;NOVOFARMA SERVICE S.A. / BOEHRINGER;Precio Máximo de Venta al Público;36374;Producto Disponible;TIOTROPIO/OLODATEROL 2,5/2,5MCG/PUFF SOL;4500019969;500008756;100004490
SPIRIVA RESPIMAT 2,5MCG C/INH CAJ 01 CGE;NOVOFARMA SERVICE S.A. / BOEHRINGER;Precio Máximo de Venta al Público;37950;Producto Disponible;TIOTROPIO 2,5MCG/PULS. SOL.P/INH. 60PUFF;4500020888;500008231;100003977
SUTENT 50 MG CAJ 28 CP;PFIZER CHILE S.A.;Precio Máximo de Venta al Público;1615950;Producto Disponible;SUNITINIB 50 MG CP;4500023753;500011937;100003902
TAXUS 20 MG CJ 30 CM;TECNOFARMA S.A.;Precio Máximo de Venta al Público;3530;Producto Disponible;TAMOXIFENO 20 MG CM/CM REC.;4500023973;500011469;100001410
TENSUREN D 80MG/12,5MG CM CAJ 30 CM;PHARMATRADE S.A.;Precio Máximo de Venta al Público;9900;Producto Disponible;TELMISARTAN/HIDROCLOROT. 80MG/12,5MG CM;4500022441;500010949;100004937
TESTOSTERONA ENANTATO 250MG CAJ 1 AM;ETHON PHARMACEUTICALS COMERCIALIZAD;Precio Máximo de Venta al Público;20464;Producto Disponible;TESTOSTERONA ENANTATO 250 MG/ML AM/FAM;*;500003860;100001435
TEXINAL 80 MG CAJ 30 CM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;10030;Producto Disponible;TELMISARTAN 80 MG CM/CM REC;4500022304;500010872;100003236
THYROZOL 10 MG CAJ 50 CM;MERCK S.A..;Precio Máximo de Venta al Público;20510;Producto Disponible;TIAMAZOL 10 MG CM REC.;4500021428;500006330;100003418
TICANASE P/NEB NASAL 50MCG/DO FRA 120DO;SOCIEDAD COMERCIAL IMPROFAR LTDA;Precio Máximo de Venta al Público;5350;Producto Disponible;FLUTICASONA 50 MCG/DO NEBUL FRA 60A120DO;4500023239;500010087;100003249
TILDIEM 90 MG 60 CM;CHEMOPHARMA S.A.;Precio Máximo de Venta al Público;19310;Producto Disponible;DILTIAZEM 90 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CONSEL LO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.;4500023926;500012047;100003827
TIMOLOL MALEATO 0.5% SOL/OFT.  FRA 10 ML;OPKO CHILE S.A.;Precio Máximo de Venta al Público;1447;Producto Disponible;TIMOLOL 0,5% SOL. OFTALMICA FRA 10 ML;4500019804;500003790;100002318
TODINE 2 MG CAJ 30 CM REC;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;10190;Producto Disponible;TOLTERODINA 2 MG CM O CM REC;4500020524;500009969;100003462
TOUJEO 300U/ML SOL INY 1,5ML CAJ 1 LPZ;SANOFI AVENTIS DE CHILE S.A.;Precio Máximo de Venta al Público;22340;Producto Disponible;INSULINA GLARGINA RECOMB 300 UI/ML LAPIZ;*;500006764;100004060
TRAMAL LONG 50 MG CAJ 20 CM;GRUNENTHAL CHILENA LTDA.;Precio Máximo de Venta al Público;10740;Producto Disponible;TRAMADOL 50MG CM REC LIBERACION PROLONG;4500021563;500006911;100003961
TRAVATAN 0,004% SOL OFT 2,5 ML CAJ 1 FRA;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;8400;Producto Disponible;TRAVOPROST 0,004% SOL.OFT FRA 2,5 ML;4500022191;500008673;100003901
TRESIBA SOL. INY. 100 U/ML  1 DISP 3ML;NOVO NORDISK FARMACEUTICAL LTDA;Precio Máximo de Venta al Público;16210;Producto Disponible;INSULINA DEGLUDEC 100 UI/ML DISP INY 3ML;4500021394;500008920;100004348
URICONT 5 MG CAJ 100 CM;INVERSIONES C&F SPA;Precio Máximo de Venta al Público;8130;Producto Disponible;OXIBUTININA 5 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO . COTIZAR POR COMPRIMIDO.;4500023880;500012021;100002257
VALSARTAN 80 MG CAJ 30 CM REC;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;4910;Producto Disponible;VALSARTAN 80 MG CP/CM REC.;4500020763;500010095;100003254
VASELINA LIQUIDA 1 L CAJ 12 FRA;DIFEM LABORATORIOS S.A.;Precio Máximo de Venta al Público;53740;Producto Disponible;VASELINA LIQUIDA MEDICINAL FRASCO CON TAPA DOSIFICADORA 1 L. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.;4500023626;500011851;100001553
VERMOIL 200 MG CAJ 6 CM;DROG FARMOQUIMICA DEL PACIFICO LTDA;Precio Máximo de Venta al Público;8937;Producto Disponible;ALBENDAZOL 200 MG CM/CM REC;4500020530;500000322;100000084
VERSATIS PARCHE 5% CAJ 5 SCH;GRUNENTHAL CHILENA LTDA.;Precio Máximo de Venta al Público;25217;Producto Disponible;LIDOCAINA 5G/100G PARCHE;4500019974;500008016;100002244
VERTIUM 25 MG CAJ 40 CM;LABORATORIOS SAVAL S.A.;Precio Máximo de Venta al Público;11440;Producto Disponible;DIFENIDOL 25 MG CM;4500022467;500009983;100003465
VOLKIRED 450 MG CAJ 60 CM REC;DR REDDY S LABORATORIES CHILE SPA;Precio Máximo de Venta al Público;290508;Producto Disponible;VALGANCICLOVIR 450 MG CM REC.;4500020314;500009810;100001905
VOTRIENT 200 MG CM REC CAJ 30 CM;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;283340;Producto Disponible;PAZOPANIB 200 MG CM REC;4500022491;500010962;100004906
XARELTO 15 MG CAJ 28 CM REC;BAYER S.A.;Precio Máximo de Venta al Público;47250;Producto Disponible;RIVAROXABAN 15 MG CM REC MICRONIZADO;4500022345;500009757;100004354
ZENTEL 400 MG CAJ 3 CM;GLAXOSMITHKLINE CHILE FARMAC. LTDA;Precio Máximo de Venta al Público;12580;Producto Disponible;ALBENDAZOL 400 MG CM /CM REC.;4500021314;500004778;100001980
ZITHROMAX 500 MG LIOF. CAJ 10 FAM;PFIZER CHILE S.A.;Precio Máximo de Venta al Público;154390;Producto Disponible;AZITROMICINA 500 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE VIA DE AD MINISTRACIÓN INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.;4500023710;500011933;100004661
ZOLETERO SOL INY 4 MG/5ML CAJ 1 FAM;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;11020;Producto Disponible;ACIDO ZOLEDRONICO 4 MG/5ML AM/BO SOL INY;4500020841;500010142;100000036
ZOMETIC 7,5 MG CAJ 30 CM;CHEMOPHARMA S.A.;Precio Máximo de Venta al Público;1628;Producto Disponible;ZOPICLONA 7,5 MG CM/CM REC.;4500020454;500001439;100001580
